income,credit_score,loan_amount,employment_years,existing_debt,approved
122720,680,47752,7,25805,1
91656,735,37327,29,11874,1
69028,782,47070,3,14079,1
89484,324,90925,14,49850,0
57154,416,45197,29,72779,0
27336,781,7261,0,9018,1
128677,691,98905,10,49500,1
92779,836,31512,6,12100,1
44029,378,11716,16,57021,0
84201,472,91795,26,19800,0
57265,311,33933,19,63400,0
127916,427,112225,23,29437,0
71197,391,9378,17,76537,0
150733,842,45583,21,46675,1
179782,831,117082,28,19942,1
96907,746,90371,21,20862,1
153876,689,34033,11,11669,1
89435,342,29000,8,53772,0
65631,553,116032,4,15916,0
154038,429,80868,9,10878,0
45103,359,47604,3,2985,0
89772,766,73336,4,73648,0
151108,586,100074,27,41235,1
39382,816,100655,27,18931,1
109291,766,78869,9,336,1
126195,644,10410,10,42933,1
159828,681,88375,20,45536,1
45609,552,61044,23,69504,0
172550,355,68315,9,51148,0
100683,762,101055,27,16279,1
149714,756,76344,7,68665,1
155330,382,11796,1,71386,0
96315,398,91716,22,77485,0
102834,448,59245,7,74055,0
151205,628,48056,15,77273,1
39153,455,22709,26,66670,0
101325,489,63557,21,76474,0
169071,793,22543,4,54028,1
80318,562,42418,26,71128,0
156886,379,99611,24,18108,0
140033,699,108291,28,52495,1
101077,559,118504,2,76533,0
115474,400,108001,11,56830,0
158515,658,101038,12,74640,1
98319,679,21724,12,52509,1
150885,520,8828,9,66406,1
134777,719,22087,3,39519,1
42368,423,17605,8,49649,0
171400,721,36337,21,34524,1
116751,530,10482,23,33885,1
52306,362,70333,22,44369,0
62219,784,97541,26,30676,1
85279,782,93296,1,64093,0
78028,818,55952,18,47764,1
129263,454,10463,0,50799,0
25126,391,117164,24,79414,0
77329,825,75448,28,72307,1
52632,754,9648,6,31923,1
134945,809,38623,16,78388,1
80176,482,64156,2,47574,0
159869,685,40634,19,43391,1
169790,704,49602,19,53664,1
59560,545,119598,20,67384,0
101589,770,54334,29,31027,1
47116,722,73648,2,35464,0
157717,364,27054,2,34485,0
149085,312,75028,16,19456,0
142718,512,27207,6,74795,0
44256,541,85650,26,35554,0
125158,792,104821,25,46922,1
